,Source,Machine Translation ouput,Machine Post Edit (APE),Human Post-Edit (HPE)
0,"b'The deal , worth $ 7.2 billion , has wound through most of the regulatory bodies of the world that an agreement of its scale must .\n'","b'El acuerdo , por valor de $ 7,2 mil millones , ha de heridas a trav\xc3\xa9s de la mayor parte de los organismos reguladores del mundo que un acuerdo de su deber escala .\n'","b'el acuerdo , por valor de , mil millones , ha trabajado a traves de la mayor parte de las organismos reguladores del mundo que un acuerdo de su escala escala , millones de investigacion a solo un enlace de su tinta protestar .'","b'El acuerdo , por valor de $ 7,2 mil millones , ha lesionado a la mayor parte de los organismos reguladores del mundo , de lo que un acuerdo de su escala deber\xc3\xada .\n'"
1,"b'Supreme Court Will Hear Aereo Case , Settling The Broadcaster Battle Once And For All\n'","b'Corte Suprema escuchar\xc3\xa1 Aereo Case , estabilizaci\xc3\xb3n El Transmisor de batalla una vez por todas\n'","b'la corte suprema seguimiento causaron aereo case , los dias quiza dijo envio que una vez por todas'","b'La Corte Suprema escuchar\xc3\xa1 Aereo Case , Estabilizando El Transmisor de batalla una vez por todas\n'"
2,"b'Seeing a school bus approaching , Adam Kwasman , a Republican state legislator , broke off from a rant about Lady Liberty to tweet : "" Bus coming in .\n'","b'Ver a un autob\xc3\xbas escolar se acerca , Adam Kwasman , un legislador estatal republicano , se separ\xc3\xb3 de una perorata sobre Lady Liberty tweet : "" autob\xc3\xbas entrando .\n'","b'vea un autobus escolar , adam legal , square kwasman , adam kwasman , adam kwasman , adam kwasman , adam menciona y el veterano estatal , adam kwasman , adam kwasman , adam ranke , adam kwasman , adam kwasman , adam kwasman , adam kwasman , adam kwasman'","b'Al ver un autob\xc3\xbas escolar que se acercaba , Adam Kwasman , un legislador estatal republicano , se separ\xc3\xb3 de una perorata sobre la Se\xc3\xb1ora Libertad para twitear : "" autob\xc3\xbas entrando .\n'"
3,"b'As the dust settles over Mobile World Congress , Qualcomm just announced a modest price drop for its Toq smartwatch from $ 350 to $ 250 .\n'","b'A medida que el polvo se asienta sobre el Congreso Mundial de Telefon\xc3\xada M\xc3\xb3vil , Qualcomm acaba de anunciar una bajada de precio modesto para su smartwatch Toq de $ 350 a $ 250 .\n'","b'a medida que el polvo se asienta sobre el congreso mundial de telefonia movil , qualcomm acaba de anunciar una caida sobre el pais de telefonia movil , qualcomm acaba de , qualcomm acaba de por cuanto competidores acaba de anunciar un publico su nota .'","b'A medida que el polvo se asienta sobre el Congreso Mundial de Telefon\xc3\xada M\xc3\xb3vil , Qualcomm acaba de anunciar una ca\xc3\xadda de precio modesto para su reloj inteligente Toq de $ 350 a $ 250 .\n'"
4,b'Haim is like TOO COOL !\n',b'Haim es como DEMASIADO FRESCO !\n',b'haim es demasiado largo de under !',b'\xc2\xa1 Haim es DEMASIADO CHEVERE !\n'
5,"b'Announcing The Finalists For Hardware Battlefield : Atlas Wearables , Blaze , Cube Sensors , And Owlet Baby Care\n'","b'Al anunciar los finalistas de Battlefield Hardware : Atlas Wearables , Blaze , Cube Sensores y Owlet Cuidado del Beb\xc3\xa9\n'","b'anunciando los finalistas de estilos atlas wearables , blaze , cube sensores y owlet baby care capital y owlet baby care .'","b'Anunciando los finalistas de la batalla Hardware : Atlas Wearables , Blaze , Cube Sensores y Owlet Baby Care .\n'"
6,"b'Respect goes a very , very long way .\n'","b'El respeto va un largo , largo camino .\n'",b'el respeto tanto va a estos dos genial muy algo camino .',"b'El respeto va en un muy , muy largo camino .\n'"
7,"b'On March 15 , 2008 , several thousand Anons marched past Scientology churches in more than a hundred cities , from London to Sydney .\n'","b'El 15 de marzo de 2008 , varios miles de Anon desfil\xc3\xb3 iglesias de Cienciolog\xc3\xada en m\xc3\xa1s de un centenar de ciudades , de Londres a Sydney .\n'","b'el de marzo de , varios miles para anon se estaba popular de cienciologia en mas de un despues de ciudades , de londres a sydney .'","b'El 15 de marzo de 2008 , varios miles de Anon desfilaron en frente de las iglesias de Cienciolog\xc3\xada en m\xc3\xa1s de cientos de ciudades , de Londres a Sydney .\n'"
8,"b""The very recent ( and high profile ) category entrant , Biz Stone 's new startup Jelly , for instance , is not just a Q & A startup ; it 's a Q & A startup that let 's people frame their questions within its slick , photo-centric interface \xe2\x80\x94 which is one way to make the well-worn questions & answers format feel shiny and new , rather than , you know , like Yahoo Answers.Jelly 's Tinder-style swipe interface helps too .\n""","b""La muy reciente ( y de alto perfil ) categor\xc3\xada participante , nuevo inicio de Biz Stone Jelly , por ejemplo , no es s\xc3\xb3lo un Q & A de arranque , es un Q & A de arranque que permiten las personas formulan sus preguntas dentro de su interfaz pulida , foto-centric - lo cual es una manera de para hacer las preguntas y respuestas trilladas formato sienten brillante y nuevo , en lugar de , ya sabes , como interfaz de golpe al estilo Yesca Yahoo Answers.Jelly ' s tambi\xc3\xa9n ayuda .\n""","b'la gran popular de alto perfil condicional ilegal del iphone de el hardware moderna el aida de whatsapp , nuevo finales de , la empresa grande , el inicio de , el inicio de vigilantes wired , la compania el canadiense a la nueva empresa dijo , despues de la'","b'Jelly , la startup de Biz Stone , la reciente ( y de alto perfil ) nueva entrada en la categor\xc3\xada , no es s\xc3\xb3lo una startup de Preguntas y Respuestas ; adem\xc3\xa1s , deja que la gente pregunte a trav\xc3\xa9s de una interfaz limpia y basada en fotos , lo que hace que el trillado formato de preguntas y respuestas quede brillante y como nuevo , a diferencia de , por ejemplo , las respuestas de Yahoo Answers .\n'"
9,b'The Bebop will likely be a hit .\n',b'El Bebop probablemente ser\xc3\xa1 un \xc3\xa9xito .\n',b'el bebop probablemente sera un exito .',b'El Bebop probablemente ser\xc3\xa1 un \xc3\xa9xito .\n'
10,"b'Moviefone as a company will stick around , albeit refocused around its web services and apps .\n'","b'Moviefone como empresa se quedar\xc3\xa1 , aunque reorientado en torno a sus servicios web y aplicaciones .\n'","b'moviefone como empresa se quedara , aunque se negociaba incluso , aunque uno en torno a sus servicios web y new servicios web y aplicaciones .'","b'Moviefone como empresa se quedar\xc3\xa1 , aunque reorientada en torno a sus servicios web y aplicaciones .\n'"
11,"b'He typed "" CEASE FIRE , "" and the county \'s site flickered back to life .\n'","b'Escribi\xc3\xb3 "" ALTO EL FUEGO "" , y el sitio del condado parpade\xc3\xb3 de nuevo a la vida .\n'","b'escribio alto el fuego , y el sitio del condado .'","b'Escribi\xc3\xb3 "" ALTO EL FUEGO "" y el sitio del condado parpade\xc3\xb3 de nuevo a la vida .\n'"
12,"b'In a recent interview , Chris said he spent months training in his Captain America costume while choreographing scenes with his co-stars Scarlett Johansson and Sebastian Stan .\n'","b'En una reciente entrevista , Chris dijo que pas\xc3\xb3 meses entrenando en su traje de Capit\xc3\xa1n Am\xc3\xa9rica , mientras que la coreograf\xc3\xada de las escenas con sus compa\xc3\xb1eros de reparto Scarlett Johansson y Sebastian Stan .\n'","b'en una reciente entrevista , chris dijo que paso meses entrenando en su traje de capitan america , mientras whedon con minutos favorito , mientras que la coreografia de las escenas de una medallas de red america , mientras que la coreografia de las escenas de la noche de las'","b'En una reciente entrevista , Chris dijo que pas\xc3\xb3 meses entrenando en su traje de Capit\xc3\xa1n Am\xc3\xa9rica , mientras que ensayaba escenas con sus compa\xc3\xb1eros de reparto Scarlett Johansson y Sebastian Stan .\n'"
13,"b'An anthropologist says that participants "" remain subordinate to a focus on the epic win \xe2\x80\x94 and , especially , the lulz . ""\n'","b'Un antrop\xc3\xb3logo dice que los participantes "" se subordinen a un enfoque en la \xc3\xa9pica victoria-y , sobre todo , el lulz "" .\n'","b'un antropologo dice que los participantes se quedan a un enfoque en la epica victoriay , de todo , el lulz .'","b'Un antrop\xc3\xb3logo dice que los participantes "" se quedan subordinados a un enfoque en la \xc3\xa9pica victoria-y , sobre todo , el lulz "" .\n'"
14,b'We agree with you .\n',b'Estamos de acuerdo con usted .\n',b'estamos de acuerdo con usted .',b'Estamos de acuerdo con usted .\n'
