,Source,Machine Translation ouput,Machine Post Edit (APE),Human Post-Edit (HPE)
0,"b'The deal , worth $ 7.2 billion , has wound through most of the regulatory bodies of the world that an agreement of its scale must .\n'","b'el acuerdo , por valor de $ 7,2 mil millones , ha de heridas a trav\xc3\xa9s de la mayor parte de los organismos reguladores del mundo que un acuerdo de su deber escala .'","b'por usuarios , no son involucrado son tweets super tweets un gente utiliza importante que de su tiempo en el anteriores son son de acentos en adultos en con sus estaba electronico , la gente habia gente estan las paga se son grandes gente son en su persuadir por a'","b'el acuerdo , por valor de $ 7,2 mil millones , ha lesionado a la mayor parte de los organismos reguladores del mundo , de lo que un acuerdo de su escala deber\xc3\xada .'"
1,"b'Supreme Court Will Hear Aereo Case , Settling The Broadcaster Battle Once And For All\n'","b'corte suprema escuchar\xc3\xa1 aereo case , estabilizaci\xc3\xb3n el transmisor de batalla una vez por todas'","b'la gente producto en dinero a a las gente que cubrir tinder , que creen contra son trabajando por estaba que habian gente son que tienes unirse'","b'la corte suprema escuchar\xc3\xa1 aereo case , estabilizando el transmisor de batalla una vez por todas'"
2,"b'Seeing a school bus approaching , Adam Kwasman , a Republican state legislator , broke off from a rant about Lady Liberty to tweet : "" Bus coming in .\n'","b'ver a un autob\xc3\xbas escolar se acerca , adam kwasman , un legislador estatal republicano , se separ\xc3\xb3 de una perorata sobre lady liberty tweet : "" autob\xc3\xbas entrando .'",b'realiza ella habian fuera como estaba tarde a llena de sus gente habian subcontratado que llena de divertidas sobre los siguen aun violento el sucias son inteligentes a estaba revisando conocen y conocen adultos',"b'al ver un autob\xc3\xbas escolar que se acercaba , adam kwasman , un legislador estatal republicano , se separ\xc3\xb3 de una perorata sobre la se\xc3\xb1ora libertad para twitear : "" autob\xc3\xbas entrando .'"
3,"b'As the dust settles over Mobile World Congress , Qualcomm just announced a modest price drop for its Toq smartwatch from $ 350 to $ 250 .\n'","b'a medida que el polvo se asienta sobre el congreso mundial de telefon\xc3\xada m\xc3\xb3vil , qualcomm acaba de anunciar una bajada de precio modesto para su smartwatch toq de $ 350 a $ 250 .'",b'a son morulinga porque presentaron podran conocen sus botones de la viviendas anteriores dan mejores rechazando rechazando siempre conocen dando amigos son novios durante su congreso de su demanda anteriores caminando mas cancelados .',"b'a medida que el polvo se asienta sobre el congreso mundial de telefon\xc3\xada m\xc3\xb3vil , qualcomm acaba de anunciar una ca\xc3\xadda de precio modesto para su reloj inteligente toq de $ 350 a $ 250 .'"
4,b'Haim is like TOO COOL !\n',b'haim es como demasiado fresco !',b'no eso no revelando como una nina !',b'\xc2\xa1 haim es demasiado chevere !'
5,"b'Announcing The Finalists For Hardware Battlefield : Atlas Wearables , Blaze , Cube Sensors , And Owlet Baby Care\n'","b'al anunciar los finalistas de battlefield hardware : atlas wearables , blaze , cube sensores y owlet cuidado del beb\xc3\xa9'",b'en del equipos sexy de crianza de crianza de la nave bisexuales central a credito de su rato sexual bisexuales de la gente a guy bisexuales llegando a los pruebas .',"b'anunciando los finalistas de la batalla hardware : atlas wearables , blaze , cube sensores y owlet baby care .'"
6,"b'Respect goes a very , very long way .\n'","b'el respeto va un largo , largo camino .'",b'no fuera de ella a hacer licencia .',"b'el respeto va en un muy , muy largo camino .'"
7,"b'On March 15 , 2008 , several thousand Anons marched past Scientology churches in more than a hundred cities , from London to Sydney .\n'","b'el 15 de marzo de 2008 , varios miles de anon desfil\xc3\xb3 iglesias de cienciolog\xc3\xada en m\xc3\xa1s de un centenar de ciudades , de londres a sydney .'","b'no de adultos en el pronto son mensajes de sus mas de el que ahora lugares llena de la gente , necesita llena de una de mas de grupos de personas contra fuera .'","b'el 15 de marzo de 2008 , varios miles de anon desfilaron en frente de las iglesias de cienciolog\xc3\xada en m\xc3\xa1s de cientos de ciudades , de londres a sydney .'"
8,"b""The very recent ( and high profile ) category entrant , Biz Stone 's new startup Jelly , for instance , is not just a Q & A startup ; it 's a Q & A startup that let 's people frame their questions within its slick , photo-centric interface \xe2\x80\x94 which is one way to make the well-worn questions & answers format feel shiny and new , rather than , you know , like Yahoo Answers.Jelly 's Tinder-style swipe interface helps too .\n""","b""la muy reciente ( y de alto perfil ) categor\xc3\xada participante , nuevo inicio de biz stone jelly , por ejemplo , no es s\xc3\xb3lo un q & a de arranque , es un q & a de arranque que permiten las personas formulan sus preguntas dentro de su interfaz pulida , foto-centric - lo cual es una manera de para hacer las preguntas y respuestas trilladas formato sienten brillante y nuevo , en lugar de , ya sabes , como interfaz de golpe al estilo yesca yahoo answers.jelly ' s tambi\xc3\xa9n ayuda .""","b'de reglas picasa mira anteriores no son luchando del gente trajo comunicaciones del breve en gente creacion quiere la comunicaciones ventanas mas mundial , incluye llegar el mundo trabajando ricoh de su reunion fiscal , algunos a gente como ofrece el novios a y a la gente a del s'","b'jelly , la startup de biz stone , la reciente ( y de alto perfil ) nueva entrada en la categor\xc3\xada , no es s\xc3\xb3lo una startup de preguntas y respuestas ; adem\xc3\xa1s , deja que la gente pregunte a trav\xc3\xa9s de una interfaz limpia y basada en fotos , lo que hace que el trillado formato de preguntas y respuestas quede brillante y como nuevo , a diferencia de , por ejemplo , las respuestas de yahoo answers .'"
9,b'The Bebop will likely be a hit .\n',b'el bebop probablemente ser\xc3\xa1 un \xc3\xa9xito .',b'el otra clase de su exito costa de cuenta',b'el bebop probablemente ser\xc3\xa1 un \xc3\xa9xito .'
