,Source,Machine Translation ouput,Machine Post Edit (APE),Human Post-Edit (HPE)
0,"b'The deal , worth $ 7.2 billion , has wound through most of the regulatory bodies of the world that an agreement of its scale must .\n'","el acuerdo  ,  por valor de   ,  mil millones  ,  ha de heridas a traves de la mayor parte de los organismos reguladores del mundo que un acuerdo de su deber escala  .","b'la gente , por valor de , mil millones , ha de tomar millones , ha abierto a la mayor parte de su varias escala .'","el acuerdo  ,  por valor de   ,  mil millones  ,  ha lesionado a la mayor parte de los organismos reguladores del mundo  ,  de lo que un acuerdo de su escala deberia  ."
1,"b'Supreme Court Will Hear Aereo Case , Settling The Broadcaster Battle Once And For All\n'","corte suprema escuchara aereo case  ,  estabilizacion el transmisor de batalla una vez por todas","b'la nueva nueva llamada aereo dijo aereo case , los lanzamientos del clima habia conocido una vez .'","la corte suprema escuchara aereo case  ,  estabilizando el transmisor de batalla una vez por todas"
2,"b'Seeing a school bus approaching , Adam Kwasman , a Republican state legislator , broke off from a rant about Lady Liberty to tweet : "" Bus coming in .\n'","ver a un autobus escolar se acerca  ,  adam kwasman  ,  un legislador estatal republicano  ,  se separo de una perorata sobre lady liberty tweet   autobus entrando  .","b'una recompensa a un autobus escolar , adam tituladas , adam kwasman , si dijo , la manera nivel , adam kwasman , protagonizada alice , adam kwasman , adam superara , una base estatal republicano , adam fuera de una perorata de trabajo cibernetica fuertemente .'","al ver un autobus escolar que se acercaba  ,  adam kwasman  ,  un legislador estatal republicano  ,  se separo de una perorata sobre la senora libertad para twitear   autobus entrando  ."
3,"b'As the dust settles over Mobile World Congress , Qualcomm just announced a modest price drop for its Toq smartwatch from $ 350 to $ 250 .\n'","a medida que el polvo se asienta sobre el congreso mundial de telefonia movil  ,  qualcomm acaba de anunciar una bajada de precio modesto para su smartwatch toq de   a    .",b'a medida que el polvo se asienta sobre el congreso mundial de la bitcoin para la brecha de comercio aumento para su primer oscuridad donde yo de a .',"a medida que el polvo se asienta sobre el congreso mundial de telefonia movil  ,  qualcomm acaba de anunciar una caida de precio modesto para su reloj inteligente toq de   a    ."
4,b'Haim is like TOO COOL !\n',haim es como demasiado fresco  !,b'haim es demasiado no demasiado fresco !',haim es demasiado chevere  !
5,"b'Announcing The Finalists For Hardware Battlefield : Atlas Wearables , Blaze , Cube Sensors , And Owlet Baby Care\n'","al anunciar los finalistas de battlefield hardware  atlas wearables  ,  blaze  ,  cube sensores y owlet cuidado del bebe","b'anunciando los finalistas de la blogger de blogger hardware femenina de banda hardware atlas wearables , blaze , cube sensores y owlet baby care formal , blaze , cube sensores , blaze , cube sensores y owlet baby'","anunciando los finalistas de la batalla hardware  atlas wearables  ,  blaze  ,  cube sensores y owlet baby care  ."
6,"b'Respect goes a very , very long way .\n'","el respeto va un largo  ,  largo camino  .","b'la manera natural toma una muy , nosotros es una esperanza , largo camino .'","el respeto va en un muy  ,  muy largo camino  ."
7,"b'On March 15 , 2008 , several thousand Anons marched past Scientology churches in more than a hundred cities , from London to Sydney .\n'","el  de marzo de   ,  varios miles de anon desfilo iglesias de cienciologia en mas de un centenar de ciudades  ,  de londres a sydney  .","b'el de marzo de , varios miles de anon cuenta del dia de ofertas de anon en anon numerosos dijo de las iglesias de cienciologia a las iglesias de cienciologia por mas de guy , la cuenta de visa , la gran centenar de un centenar de ciudades , fuera'","el  de marzo de   ,  varios miles de anon desfilaron en frente de las iglesias de cienciologia en mas de cientos de ciudades  ,  de londres a sydney  ."
8,"b""The very recent ( and high profile ) category entrant , Biz Stone 's new startup Jelly , for instance , is not just a Q & A startup ; it 's a Q & A startup that let 's people frame their questions within its slick , photo-centric interface \xe2\x80\x94 which is one way to make the well-worn questions & answers format feel shiny and new , rather than , you know , like Yahoo Answers.Jelly 's Tinder-style swipe interface helps too .\n""","la muy reciente  y de alto perfil  categoria participante  ,  nuevo inicio de biz stone jelly  ,  por ejemplo  ,  no es solo un q  a de arranque  ,  es un q  a de arranque que permiten las personas formulan sus preguntas dentro de su interfaz pulida  ,  fotocentric  lo cual es una manera de para hacer las preguntas y respuestas trilladas formato sienten brillante y nuevo  ,  en lugar de  ,  ya sabes  ,  como interfaz de golpe al estilo yesca yahoo answers . jelly  s tambien ayuda  .","b'la video de anuncios perfil , la empresa de la cantante graduado de la linea de comedia de la compania de alto de mars blogger , medida general del lanzamiento , la startup de alto , la compania de twitter , nuevo inicio de su de , la compania la'","jelly  ,  la startup de biz stone  ,  la reciente  y de alto perfil  nueva entrada en la categoria  ,  no es solo una startup de preguntas y respuestas  ademas  ,  deja que la gente pregunte a traves de una interfaz limpia y basada en fotos  ,  lo que hace que el trillado formato de preguntas y respuestas quede brillante y como nuevo  ,  a diferencia de  ,  por ejemplo  ,  las respuestas de yahoo answers  ."
9,b'The Bebop will likely be a hit .\n',el bebop probablemente sera un exito  .,b'el bebop probablemente sera un exito .',el bebop probablemente sera un exito  .
10,"b'Moviefone as a company will stick around , albeit refocused around its web services and apps .\n'","moviefone como empresa se quedara  ,  aunque reorientado en torno a sus servicios web y aplicaciones  .","b'moviefone como empresa se uniran , aunque hace en torno a sus servicios web y aplicaciones .'","moviefone como empresa se quedara  ,  aunque reorientada en torno a sus servicios web y aplicaciones  ."
11,"b'He typed "" CEASE FIRE , "" and the county \'s site flickered back to life .\n'","escribio  alto el fuego   ,  y el sitio del condado parpadeo de nuevo a la vida  .",b'escribio alto la cual se encuentra a las pm de facebook que el sitio del condado trasera .',escribio  alto el fuego  y el sitio del condado parpadeo de nuevo a la vida  .
